protein_id	gene_symbol	mol_weight_kd	mol_weight
2017;342018;342019;342020;342021;342022;342023;342024;342025;342026;342027;342028;342029;342030;342031;342032;342033;342034;342035;342036;342037;342038;342039;342040;342041;342042;342043;342044;342045;342046;342047;342048;342049;342050;342051;342052;342053;342054;342055;342056;342057;342058;342059;342060;342061;342062;342063;342064;342065;342066;342067;342068;342069;342070;342071;342072;342073;342074;342075;342076;342077;342078;342079;342080;342081;342082;342083;342084;342085;342086;342087;342088;342089;342090;342091;342092;342093;342094;342095;342096;342097;342098;342099;342100;342101;342102;342103;342104;342105;342106;342107;342108;342109;342110;342111;342112;342113;342114;342115;342116;342117;342118;342119;342120;342121;342122;342123;342124;342125;342126;342127;342128;342129;342130;342131;342132;342133;342134;342135;342136;342137;342138;342139;342140;342141;342142;342143;342144;342145;342146;342147;342148;342149;342150;342151;342152;342153;342154;342155;342156;342157;342158;342159;342160;342161;342162;342163;342164;342165;342166;342167;342168;342169;342170;342171;342172;342173;342174;342175;342176;342177;342178;342179;342180;342181;342182;342183;342184;342185;342186;342187;342188;342189;342190;342191;342192;342193;342194;342195;342196;342197;342198;342199;342200;342201;342202;342203;342204;342205;342206;342207;342208;342209;342210;342211;342212;342213;342214;342215;342216;342217;342218;342219;342220;342221;342222;342223;342224;342225;342226;342227;342228;342229;342230;342231;342232;342233;342234;342235;342236;342237;342238;342239;342240;342241;342242;342243;342244;342245;342246;342247;342248;342249;342250;342251;342252;342253;342254;342255;342256;342257;342258;342259;342260;342261;342262;342263;342264;342265;342266;342267;342268;342269;342270;342271;342272;342273;342274;342275;342276;342277;342278;342279;342280;342281;342282;342283;342284;342285;342286;342287;342288;342289;342290;342291;342292;342293;342294;342295;342296;342297;342298;342299;342300;342301;342302;342303;342304;342305;342306;342307;342308;342309;342310;342311;342312;342313;342314;342315;342316;342317;342318;342319;342320;342321;342322;342323;342324;342325;342326;342327;342328;342329;342330;342331;342332;342333;342334;342335;342336;342337;342338;342339;342340;342341;342342;342343;342344;342345;342346;342347;342348;342349;342350;342351;342352;342353;342354;342355;342356;342357;342358;342359;342360;342361;342362;342363;342364;342365;342366;342367;342368;342369;342370;342371;342372;342373;342374;342375;342376;342377;342378;342379;342380;342381;342382;342383;342384;342385;342386;342387;342388;342389;342390;342391;342392;342393;342394;342395;342396;342397;342398;342399;342400;342401;342402;342403;342404;342405;342406;342407;342408;342409;342410;342411;342412;342413;342414;342415;342416;342417;342418;342419;342420;342421;342422;342423;342424;342425;342426;342427;342428;342429;342430;342431;342432;342433;342434;342435;342436;342437;342438;342439;342440;342441;342442;342443;342444;342445;342446;342447;342448;342449;342450;342451;342452;342453;342454;342455;342456;342457;342458;342459;342460;342461;342462;342463;342464;342465;342466;342467;342468;342469;342470;342471;342472;342473;342474;342475;342476;342477;342478;342479;342480;342481;342482;342483;342484;342485;342486;342487;342488;342489;342490;342491;342492;342493;342494;342495;342496;342497;342498;342499;342500;342501;342502;342503;342504;342505;342506;342507;342508;342509;342510;342511;342512;342513;342514;342515;342516;342517;342518;342519;342520;342521;342522;342523;342524;342525;342526;342527;342528;342529;342530;342531;342532;342533;342534;342535;342536;342537;342538;342539;342540;342541;342542;342543;342544;342545;342546;342547;342548;342549;342550;342551;342552;342553;342554;342555;342556;342557;342558;342559;342560;342561;342562;342563;342564;342565;342566;342567;342568;342569;342570;342571;342572;342573;342574;342575;342576;342577;342578;342579;342580;342581;342582;342583;342584;342585;342586;342587;342588;342589;342590;342591;342592;342593;342594;342595;342596;342597;342598;342599;342600;342601;342602;342603;342604;342605;342606;342607;342608;342609;342610;342611;342612;342613;342614;342615;342616;342617;342618;342619;342620;342621;342622;342623;342624;342625;342626;342627;342628;342629;342630;342631;342632;342633;342634;342635;342636;342637;342638;342639;342640;342641;342642;342643;342644;342645;346358;346359;346360;346361;346362;346363;346364;346365;346366;346367;346368;346369;346370;346371;346372;346373;346374;346375;346376;346377;346378;346379;346380;346381;346382;346383;346384;346385;346386;346387;346388;346389;346390;346391;346392;346393;346394;346395;346396;346397;346398;346399;346400;346401;346402;346403;346404;346405;346406;346407;346408;346409;346410;346411;346412;346413;346414;346415;346416;346417;346418;346419;346420;346421;346422;346423;355096;355097;355098;355099;355100;355101;355102;355103;355104;355105;355106;355107;355108;355109;355110;355111;355112;355113;355114;355115;355116;355117;355118;355119;355120;355121;355122;355123;355124;355125;355126;355127;355128;355129;355130;355131;355132;355133;355134;355135;355136;355137;355138;355139;355140;355141;355142;355143;355144;355145;355146;355147;355148;355149;355150;355151;355152;355153;355154;355155;355156;355157;355158;355159;355160;355161;355162;355163;355164;355165;355166;355167;355168;355169;355170;355171;355172;355173;355174;355175;355176;355177;355178;355179;355180;355181;355182;355183;355184;355185;361962;361963;361964;361965;361966;361967;361968;361969;361970;361971;361972;361973;361974;361975;361976;361977;361978;361979;361980;361981;361982;361983;361984;361985;361986;361987;361988;361989;361990;361991;361992;361993;361994;361995;361996;361997;361998;361999;362000;362001;362002;362003;362004;362005;362006;362007;362008;362009;362010;362011;362012;362013;362014;362015;362016;362017;362018;362019;362020;362021;362022;362023;362024;362025;362026;362027;362028;362029;362030;362031;362032;362033;362034;362035;362036;362037;362038;362039;362040;362041;362042;362043;362044;362045;362046;362047;362048;362049;362050;362051;362052;362053;362054;362055;362056;362057;362058;362059;362060;362061;362062;362063;362064;362065;362066;362067;362068;362069;362070;362071;362072;362073;362074;362075;362076;362077;362078;362079;362080;362081;362082;362083;362084;362085;362086;362087;362088;362089;362090;362091;362092;362093;362094;362095;362096;362097;362098;362099;362100;362101;362102;362103;362104;362105;362106;362107;362108;362109;362110;362111;362112;362113;362114;363476;363477;363478;363479;363480;363481;363482;363483;363484;363485;363486;363487;363488;363489;363490;363491;363492;363493;363494;363495;363496;363497;363498;363499;363500;363501;363502;363503;363504;363505;363506;363507;363508;363509;363510;363511;363512;363513;363514;363515;363516;367551;367552;367553;367554;367555;367556;367557;367558;367559;367560;367561;367562;367563;367564;367565;367566;367567;367568;367569;367570;367571;367572;367573;367574;367575;367576;367577;367578;367579;367580;367581;367582;367583;367584;367585;367586;367587;367588;367589;367590;367591;367592;367593;367594;367595;367596;367597;367598;367599;367600;367601;367602;367603;367604;367605;367606;367607;367608;367609;367610;367611;367612;367613;367614;367615;367616;367617;367618;367619;367620;367621;367622;367623;367624;367625;367626;367627;367628;367629;367630;367631;367632;367633;367634;367635;367636;367637;367638;367639;367640;367641;367642;367643;367644;367645;367646;367647;367648;367649;367650;367651;367652;367653;367654;367655;367656;367657;367658;367659;367660;367661;367662;367663;367664;367665;367666;367667;367668;367669;367670;367671;367672;367673;367674;367675;367676;367677;367678;367679;367680;367681;367682;367683;367684;367685;367686;367687;367688;367689;367690;367691;367692;367693;367694;367695;367696;367697;367698;367699;367700;367701;367702;367703;367704;367705;367706;367707;367708;367709;367710;367711;367712;367713;367714;367715;367716;367717;367718;367719;367720;367721;367722;367723;367724;367725;367726;367727;367728;367729;367730;367731;367732;367733;367734;367735;367736;367737;367738;367739;367740;367741;367742;367743;367744;367745;367746;367747;367748;367749;367750;367751;367752;367753;367754;367755;367756;367757;367758;367759;367760;369361;369362;369363;369364;369365;369366;369367;369368;369369;369370;369371;369372;369373;369374;369375;369376;369377;369378;369379;369380;369381;369382;369383;369384;369385;369386;369387;369388;369389;369390;369391;369392;369393;369394;369395;369396;369397;369398;369399;369400;369401;369402;369403;369404;369405;369406;369407;369408;369409;369410;369411;373006;373007;373008;373009;373010;373011;373012;373013;373014;373015;373016;373017;373018;373019;373020;373021;373022;373023;373024;373025;373026;373027;373028;373029;373030;373031;373032;373033;373034;373035;373036;373037;373038;373039;373040;373041;373042;373043;373044;373045;373046;373047;373048;373049;373050;373051;373052;373053;373054;373055;373056;373057;373058;373059;373060;373061;373062;373063;373064;373065;373066;373067;373068;373069;373070;373071;373072;373073;373074;373075;373076;373077;373078;373079;373080;373081;373082;374938;374939;374940;374941;374942;374943;374944;374945;374946;374947;374948;374949;374950;374951;374952;374953;374954;374955;374956;374957;374958;374959;374960;374961;374962;389263;389264;389265;389266;389267;389268;389269;389270;389271;389272;389273;389274;389275;389276;389277;389278;389279;389280;389281;389282;389283;389284;389285;389286;389287;389288;389289;389290;389291;389292;389293;389294;389295;389296;389297;389298;389299;389300;389301;389302;389303;389304;389305;389306;389307;389308;389309;389310;389311;389312;389313;389314;389315;389316;389317;389318;389319;389320;389321;389322;389323;389324;389325;389326;389327;389328;389329;389330;389331;389332;389333;389334;389335;389336;389337;389338;389339;389340;389341;389342;389343;389344;389345;389346;389347;389348;389349;389350;389351;389352;389353;389354;389355;389356;389357;389358;389359;389360;389361;389362;389363;389364;389365;389366;389367;389368;389369;389370;389371;389372;389373;389374;389375;389376;389377;389378;389379;389380;389381;389382;389383;389384;389385;389386;389387;389388;389389;389390;389391;389392;389393;389394;389395;389396;389397;389398;389399;389400;389401;389402;389403;389404;389405;389406;389407;389408;389409;389410;389411;389412;389413;389414;389415;389416;389417;389418;389419;389420;389421;389422;389423;389424;389425;389426;389427;389428;389429;389430;389431;389432;389433;389434;389435;389436;389437;389438;389439;389440;389441;389442;389443;389444;389445;389446;389447;389448;389449;389450;389451;389452;389453;389454;389455;389456;389457;389458;389459;389460;389461;389462;389463;389464;389465;389466;389467;393130;393131;393132;393133;393134;393135;393136;393137;393138;393139;393140;393141;393142;393143;393144;393145;393146;393147;393148;393149;393150;393151;393152;393153;393154;393155;393156;393157;393158;393159;393160;393161;393162;393163;393164;393165;393166;393167;393168;393169;393170;393171;393172;393173;393174;393175;393176;393177;393178;393179;393180;393181;393182;393183;393184;393185;393186;393187;393188;393189;393190;393191;393192;393193;393194;393195;393196;393197;393198;393199;393200;393201;393202;393203;393204;393205;393206;393207;393208;393209;393210;393211;393212;393213;393214;393215;393216;393217;393218;393219;393220;393221;393222;393223;393224;393225;393226;393227;393228;393229;393230;393231;393232;393233;393234;393235;393236;393237;393238;393239;393240;393241;393242;393243;393244;393245;393246;393247;393248;393249;393250;393251;393252;393253;393254;393255;393256;393257;393258;393259;393260;393261;393262;393263;393264;393265;393266;393267;393268;393269;393270;393271;393272;393273;393274;393275;393276;393277;393278;393279;393280;393281;393282;393283;393284;393285;393286;393287;393288;393289;393290;393291;393292;393293;393294;393295;393296;393297;393298;393299;393300;393301;393302;393303;393304;393305;393306;393307;393308;393309;393310;393311;393312;393313;393314;393315;393316;393317;393318;393319;393320;393321;393322;393323;393324;393325;393326;393327;393328;393329;393330;393331;393332;393333;393334;393335;393336;393337;393338;393339;393340;393341;393342;393343;393344;393345;393346;393347;393348;393349;393350;393351;393352;393353;393354;393355;393356;393357;393358;393359;393360;393361;393362;393363;393364;393365;393366;393367;393368;393369;393370;393371;393372;393373;393374;393375;393376;393377;393378;393379;393380;393381;393382;393383;393384;393385;393386;393387;393388;393389;393390;393391;393392;393393;393394;393395;393396;393397;393398;393399;393400;393401;393402;393403;393404;393405;393406;393407;393408;393409;393410;393411;393412;393413;393414;393415;393416;393417;393418;393419;393420;393421;393422;393423;393424;393425;393426;393427;393428;393429;393430;393431;393432;393433;393434;393435;393436;393437;393438;393439;393440;393441;393442;393443;393444;393445;393446;393447;393448;393449;393450;393451;393452;393453;393454;393455;393456;393457;393458;393459;393460;393461;393462;393463;393464;393465;393466;393467;393468;393469;393470;393471;393472;393473;393474;393475;393476;393477;393478;393479;393480;393481;393482;393483;393484;393485;393486;393487;393488;393489;393490;393491;393492;393772;393773;393774;393775;393776;393777;393778;393779;393780;393781;393782;393783;393784;393785;393786;393787;393788;393789;393790;393791;393792;393793;393794;393795;393796;393797;393798;393799;393800;393801;393802;393803;393804;393805;393806;393807;393808;393809;393810;393811;393812;393813;393814;393815;393816;393817;393818;393819;393820;393821;393822;393823;393824;393825;393826;393827;393828;393829;393830;393831;393832;393833;393834;393835;393836;393837;393838;393839;393840;393841;393842;393843;393844;393845;393846;393847;393848;393849;393850;393851;393852;393853;393854;393855;393856;393857;393858;393859;393860;393861;393862;393863;393864;393865;393866;393867;393868;393869;393870;393871;393872;393873;393874;393875;393876;393877;393878;393879;393880;393881;393882;393883;393884;393885;393886;393887;393888;393889;393890;393891;393892;393893;393894;393895;393896;393897;393898;393899;393900;393901;393902;393903;393904;393905;393906;393907;393908;393909;393910;393911;393912;393913;393914;393915;393916;393917;393918;393919;393920;393921;393922;393923;393924;393925;393926;393927;393928;393929;393930;393931;393932;393933;393934;393935;393936;393937;393938;393939;393940;393941;393942;393943;393944;393945;393946;393947;393948;393949;393950;393951;393952;393953;393954;393955;393956;393957;393958;393959;393960;393961;393962;393963;393964;393965;393966;393967;393968;393969;393970;393971;393972;393973;393974;393975;393976;393977;393978;393979;393980;393981;393982;393983;393984;393985;393986;393987;393988;393989;393990;393991;393992;393993;393994;393995;393996;393997;393998;393999;394000;394001;394002;394003;394004;394005;394006;394007;394008;394009;394010;394011;394012;394013;394014;394015;394016;394017;394018;394019;394020;394021;394022;394023;394024;394025;394026;394027;394028;394029;394030;394031;394032;394033;394034;394035;394036;394037;394038;394039;394040;394041;394042;394043;394044;394045;394046;394047;394048;394049;394050;394051;394052;394053;394054;394055;394056;394057;394058;394059;394060;394061;394062;394063;394064;394065;394066;394067;394068;394069;394070;394071;394072;394073;394074;394075;394076;394077;394078;394079;394080;394081;394082;394083;394084;394085;394086;394087;394088;394089;394090;394091;394092;394093;394094;394095;394096;394097;394098;394099;394100;394101;394102;394103;394104;394105;394106;394107;394108;394109;394110;394111;394112;394113;394114;394115;394116;394117;394118;394119;394120;394121;394122;394123;394124;394125;394126;394127;394128;394129;394130;394131;394132;394133;394134;394135;394136;394137;394138;394139;394140;394141;394142;394143;394144;394145;394146;394147;394148;394149;394150;394151;394152;394153;394154;394155;394156;394157;394158;394159;394160;394161;394162;394163;394164;394165;394166;394167;394168;394169;394170;394171;394172;394173;394174;394175;394176;394177;394178;394179;394180;394181;394182;394183;394184;394185;394186;394187;394188;394189;394190;394191;394192;394193;394194;394195;394196;394197;394198;394199;394200;394201;394202;394203;394204;394205;394206;394207;394208;394209;394210;394211;394212;394213;394214;394215;394216;394217;394218;394219;394220;394221;394222;394223;394224;394225;394226;394227;394228;394229;394230;394231;394232;394233;394234;394235;394236;394237;394238;394239;394240;394241;394242;394243;394244;394245;394246;394247;394248;394249;394250;394251;394252;394253;394254;394255;394256;394257;394258;394259;394260;394261;394262;394263;394264;394265;394266;394267;394268;394269;394270;394271;394272;394273;394274;394275;394276;394277;394278;394279;394280;394281;394282;394283;394284;394285;394286;394287;394288;394289;394290;394291;394292;394293;394294;394295;394296;394297;394298;394299;394300;394301;394302;394303;394304;394305;394306;394307;394308;394309;394310;394311;394312;394313;394314;394315;394316;394317;394318;394319;394320;394321;394322;394323;394324;394325;394326;394327;394328;394329;394330;394331;394332;394333;394334;394335;394336;394337;394338;394339;394340;394341;394342;394343;394344;394345;394346;394347;394348;394349;394350;394351;394352;394353;394354;394355;394356;394357;394358;394359;394360;394361;394362;394363;394364;394365;394366;394367;394368;394369;394370;394371;394372;394373;394374;394375;394376;394377;394378;394379;394380;394381;394382;394383;394384;394385;394386;394387;394388;394389;394390;394391;394392;394393;394394;394395;394396;394397;394398;394399;394400;394401;394402;394403;394404;394405;394406;394407;394408;394409;394410;394411;394412;394413;394414;394415;394416;394417;394418;394419;394420;394421;394422;394423;394424;394425;394426;394427;394428;394429;394430;394431;394432;394433;394434;394435;394436;394437;394438;394439;394440;394441;394442;394443;394444;394445;394446;394447;394448;394449;394450;394451;394452;394453;394454;394455;394456;394457;394458;394459;394460;394461;394462;394463;394464;394465;394466;394467;394468;394469;394470;394471;394472;394473;394474;394475;394476;394477;394478;394479;394480;394481;394482;394483;394484;394485;394486;394487;394488;394489;394490;394491;394492;394493;394494;394495;394496;394497;394498;394499;394500;394501;394502;394503;394504;394505;394506;394507;394508;394509;394510;394511;394512;394513;394514;394515;394516;394517;394518;394519;394520;394521;394522;394523;394524;394525;394526;394527;394528;394529;394530;394531;394532;394533;394534;394535;394536;394537;394538;394539;394540;394541;394542;394543;394544;394545;394546;394547;394548;394549;394550;394551;394552;394553;394554;394555;394556;394557;394558;394559;394560;394561;394562;394563;394564;394565;394566;394567;394568;394569;394570;394571;394572;394573;394574;394575;394576;394577;394578;394579;394580;394581;394582;394583;394584;394585;394586;394587;394588;394589;394590;394591;394592;394593;394594;394595;394596;394597;394598;394599;394600;394601;394602;394603;394604;394605;394606;394607;394608;394609;394610;394611;394612;394613;394614;394615;394616;394617;394618;394619;394620;394621;394622;394623;394624;394625;394626;394627;394628;394629;394630;394631;394632;394633;394634;394635;394636;394637;394638;394639;394640;394641;394642;394643;394644;394645;394646;394647;394648;394649;394650;394651;394652;394653;394654;394655;394656;394657;394658;394659;394660;394661;394662;394663;394664;394665;394666;394667;394668;394669;394670;394671;394672;394673;394674;394675;394676;394677;394678;394679;394680;394681;394682;394683;394684;394685;394686;394687;394688;394689;394690;394691;394692;394693;394694;394695;394696;394697;394698;394699;394700;394701;394702;394703;394704;394705;394706;394707;394708;394709;394710;394711;394712;394713;394714;394715;394716;394717;394718;394719;394720;394721;394722;394723;394724;394725;394726;394727;394728;394729;394730;394731;394732;394733;394734;394735;394736;394737;394738;394739;394740;394741;394742;394743;394744;394745;394746;394747;394748;394749;394750;394751;394752;394753;394754;394755;394756;394757;394758;394759;394760;394761;394762;394763;394764;394765;394766;394767;394768;394769;394770;394771;394772;394773;394774;394775;394776;394777;394778;394779;394780;394781;394782;394783;394784;394785;394786;394787;394788;394789;394790;394791;399575;399576;399577;399578;399579;399580;399581;399582;399583;399584;399585;399586;399587;399588;399589;399590;399591;399592;399593;399594;399595;399596;399597;399598;399599;399600;399601;399602;399603;399604;399605;399606;399607;399608;399609;399610;399611;399612;399613;399614;399615;399616;399617;399618;399619;399620;399621;399622;399623;399624;399625;399626;399627;399628;399629;399630;399631;399632;399633;399634;399635;399636;399637;399638;399639;399640;399641;399642;399643;399644;399645;399646;399647;399648;399649;399650;399651;399652;399653;399654;399655;399656;399657;399658;399659;399660;399661;399662;399663;399664;399665;399666;399667;399668;399669;399670;399671;399672;399673;399674;399675;399676;399677;399678;399679;399680;399681;399682;399683;399684;399685;399686;399687;399688;399689;399690;399691;399692;399693;399694;399695;399696;399697;399698;399699;399700;399701;399702;399703;399704;399705;399706;399707;399708;399709;399710;399711;399712;399713;399714;399715;399716;399717;399718;399719;399720;399721;399722;399723;399724;399725;399726;399727;399728;399729;399730;399731;399732;399733;399734;399735;399736;399737;399738;399739;399740;399741;399742;399743;399744;399745;399746;399747;399748;399749;402358;402359;402360;402361;402362;402363;402364;402365;402366;402367;402368;402369;402370;402371;402372;402373;402374;402375;402376;402377;402378;402379;402380;402381;402382;402383;402384;402385;402386;402387;402388;402389;402390;402391;402392;402393;402394;402395;402396;402397;402398;402399;402400;402401;402402;402403;402404;402405;402406;402407;402408;402409;402410;402411;402412;402413;402414;402415;402416;402417;402418;402419;402420;402421;402422;402423;402424;402425;402426;407243;407244;407245;407246;407247;407248;407249;407250;407251;407252;407253;407254;407255;407256;407257;407258;407259;407260;407261;407262;407263;407264;407265;407266;407267;407268;407269;407270;407271;407272;407273;407274;407275;407276;407277;407278;407279;407280;407281;407282;407283;407284;407285;407286;407287;407288;407289;407290;407291;407292;407293;407294;407295;407296;407297;407298;407299;407300;407301;407302;407303;407304;407305;407306;407307;407308;407309;407310;411457;411458;411459;411460;411461;411462;411463;411464;411465;411466;411467;411468;411469;411470;411471;411472;411473;411474;411475;411476;411477;411478;411479;411480;418536;418537;418538;418539;418540;418541;418542;418543;418544;433228;433229;433230;433231;433232;433233;433234;433235;433236;433237;433238;433239;433240;433241;433242;433243;433244;433245;433246;433247;433248;433249;433250;433251;433252;433253;433254;433255;433256;433257;433258;433259;433260;433261;433262;433263;433264;433265;433266;433267;433268;433269;433270;433271;433272;433273;433274;433275;433276;433277;433278;433279;433280;433281;433282;433283;433284;433285;433286;433287;433288;433289;433290;433291;433292;433293;433294;433295;433296;433297;433298;433299;433300;433301;433302;433303;433304;433305;433306;433307;433308;433309;433310;433311;433312;433313;433314;433315;433316;433317;433318;433319;433320;433321;433322;433323;433324;433325;433326;433327;433328;433329;433330;433331;433332;433333;433334;433335;433336;433337;433338;433339;433340;433341;433342;433343;433344;433345;433346;433347;433348;433349;433350;433351;433352;433353;433354;433355;433356;433357;433358;433359;433360	44;55;57;119;307;458;575;612;772;841;856;875;889;1074;1183;1232		0
Q8C1A5	Thop1	78.025	78025
Q8C1B7	Sep-11	49.694	49694
Q8C1C8	Pnma1	39.718	39718
Q8C1E7	Tmem120a	40.751	40751
Q8C1Q6	Smim4	9.7463	9746.3
Q8C1Y8	Ccz1	55.504	55504
Q8C267	Setdb2	80.635	80635
Q8C2E7	Kiaa0196	134.11	134110
Q8C2Q3	Rbm14	69.448	69448
Q8C3J5	Dock2	211.7	211700
Q8C3X2	Ccdc90b	29.596	29596
Q8C3X8	Lmf2	79.996	79996
Q8C3Y4	Kntc1	250.36	250360
Q8C407	Yipf4	27.283	27283
Q8C4Y3	Nelfb	65.636	65636
Q8C522	Endod1	55.262	55262
Q8C547	Heatr5b	224.32	224320
Q8C570	Rae1	40.965	40965
Q8C5H8	Nadk2	50.858	50858
Q8C5L3	Cnot2	59.71	59710
Q8C5L7	Rbm34	49.116	49116
Q8C5N3	Cwc22	104.77	104770
Q8C5P5	Nt5dc1	53.094	53094
Q8C5Q4	Grsf1	53.076	53076
Q8C5T8	Ccdc113	44.214	44214
Q8C5W0	Clmn	117.23	117230
Q8C5W3	Tbcel	48.031	48031
Q8C650	Sep-10	52.422	52422
Q8C6B2	Rtkn	63.012	63012
Q8C6G8	Wdr26	70.543	70543
Q8C754	Vps52	82.043	82043
Q8C767	Ppp1r3b	32.432	32432
Q8C7E7	Stbd1	36.127	36127
Q8C7E9	Cstf2t	65.862	65862
Q8C7G5	Apoa5	41.262	41262
Q8C7H1	Mmaa	45.932	45932
Q8C7R4	Uba6	117.96	117960
Q8C7V8	Ccdc134	26.494	26494
Q8C7X2	Emc1	111.6	111600
Q8C854	Myef2	63.294	63294
Q8C863;Q9DBH0	Itch	98.992	98992
Q8C878	Uba3	51.737	51737
Q8C8R3	Ank2	426.26	426260
Q8C8T8	Tsr2	20.891	20891
Q8C8U0	Ppfibp1	108.54	108540
Q8C9J3	Spef2	197.97	197970
Q8C9M2	Ccdc15	93.526	93526
Q8CAK1	Iba57	38.399	38399
Q8CAQ8	Immt	83.899	83899
Q8CAS9	Parp9	96.658	96658
Q8CAY6	Acat2	41.297	41297
Q8CBR6	Tsku	38.362	38362
Q8CBW3;P62484	Abi1	52.287	52287
Q8CBY8	Dctn4	53.056	53056
Q8CC21	Ttc19	41.234	41234
Q8CC86	Naprt	58.265	58265
Q8CC88	Vwa8	213.42	213420
Q8CCF0	Prpf31	55.429	55429
Q8CCH2	Nhlrc3	38.195	38195
Q8CCJ3	Ufl1	89.519	89519
Q8CCK0	H2afy2	40.092	40092
Q8CCN5	Bcas3	101.02	101020
Q8CCP0	Nemf	121.19	121190
Q8CCS6;Q5XFR0	Pabpn1	32.296	32296
Q8CCT4;Q8R0A5	Tceal5;Tceal3	22.038	22038
Q8CD10	Micu2	49.475	49475
Q8CD15	Mina	53.516	53516
Q8CD92	Ttc27	96.43	96430
Q8CDA1	Inpp5f	127.61	127610
Q8CDG1	Piwil2	109.49	109490
Q8CDG3	Vcpip1	134.5	134500
Q8CDI6	Ccdc158	126.82	126820
Q8CDI7	Ccdc150	128.5	128500
Q8CDM8;Q80YR2	Fam160b1	86.016	86016
Q8CDN6	Txnl1	32.237	32237
Q8CDN9	Lrrc9	167.3	167300
Q8CDS7		29.347	29347
Q8CDU5	Efhb	95.742	95742
Q8CDV0	Ccdc178	103.04	103040
Q8CE96	Trmt6	55.518	55518
Q8CEC6	Ppwd1	73.384	73384
Q8CEE7	Rdh13	36.464	36464
Q8CEF1	Fem1c	68.578	68578
Q8CEI1	Bola3	12.228	12228
Q8CES0	Naa30	39.432	39432
Q8CF02	Fam25c	9.2353	9235.3
Q8CFA2	Amt	44.008	44008
Q8CFD4	Snx8	52.058	52058
Q8CFE4	Scyl2	103.32	103320
Q8CFI0	Nedd4l	115.42	115420
Q8CFI7	Polr2b	133.91	133910
Q8CFJ7	Slc25a45	31.689	31689
Q8CFV9	Rfk	17.437	17437
Q8CFX1	H6pd	88.927	88927
Q8CG19	Ltbp1	186.72	186720
Q8CG50	Rab43	23.263	23263
Q8CG71	Leprel1	80.153	80153
Q8CG72	Adprhl2	39.414	39414
Q8CG76	Akr7a2	40.612	40612
Q8CGA0	Ppm1f	49.61	49610
Q8CGB6;Q8BZ33	Tns2	152.01	152010
Q8CGC7	Eprs	170.08	170080
Q8CGF1	Arhgap29	142.34	142340
Q8CGF5	Tmem56	31.235	31235
Q8CGF7	Tcerg1	123.79	123790
Q8CGK3	Lonp1	105.84	105840
Q9D2U9;Q8CGP0	Hist3h2ba;Hist3h2bb	13.994	13994
Q8CGR7	Upp2	35.755	35755
Q8CGY8	Ogt	116.95	116950
Q8CGZ0	Cherp	106.17	106170
Q8CGZ9	Prl7b1	28.959	28959
Q8CH02	Sugp1	72.648	72648
Q8CH18	Ccar1	132.06	132060
Q8CH20	Cypt1	18.957	18957
Q8CH25	Sltm	116.92	116920
Q8CH40	Nudt6	35.197	35197
Q8CH77	Nav1	202.37	202370
Q8CHB8	Ttll5	147.71	147710
Q8CHC4	Synj1	172.62	172620
Q8CHG3	Gcc2	194.44	194440
Q8CHH9	Sep-08	49.812	49812
Q8CHI8	Ep400	337.18	337180
Q8CHK3	Mboat7	53.435	53435
Q8CHP5	Wibg	22.689	22689
Q8CHP8	Pgp	34.54	34540
Q8CHQ0	Fbxo4	43.776	43776
Q8CHQ9	Cml2	26.424	26424
Q8CHR6	Dpyd	111.25	111250
Q8CHS2	Dnajc22	37.941	37941
Q8CHT0	Aldh4a1	61.84	61840
Q8CHV6	Tada2a	51.338	51338
Q8CHW4	Eif2b5	80.085	80085
Q8CHY6	Gatad2a	67.333	67333
Q8CI04	Cog3	93.282	93282
Q8CI15	Sphk1	42.443	42443
Q8CI32	Bag5	50.942	50942
Q8CI33	Cwf19l1	60.193	60193
Q8CI51	Pdlim5	63.299	63299
Q8CI59	Steap3	54.748	54748
Q8CI75	Dis3l2	97.774	97774
Q8CI78	Rmnd1	51.842	51842
Q8CI94	Pygb	96.729	96729
Q8CI95;S4R1M9	Osbpl11;Osbpl10	83.628	83628
Q8CIB5	Fermt2	77.8	77800
Q8CIC2	Nupl2	44.337	44337
Q8CIE4	Parp10	103.68	103680
Q8CIE6	Copa	138.43	138430
Q8CIF4	Btd	58.154	58154
Q8CIG8	Prmt5	72.679	72679
Q8CIH5	Plcg2	147.59	147590
Q8CII2	Cdc123	38.816	38816
Q8CIM7	Cyp2d26	56.975	56975
Q8CIM8	Ints4	108.19	108190
Q8CIN4;Q61036	Pak2	57.93	57930
Q8CIS0	Card11	134.04	134040
Q8CIV7	Ovol2	30.684	30684
Q8CIV8	Tbce	59.085	59085
Q8CIW5	Peo1	76.992	76992
Q8CIZ8	Vwf	309.27	309270
Q8CJ40	Crocc	226.94	226940
Q8CJ61	Cmtm4	22.921	22921
Q8CJF7	Ahctf1	247.64	247640
Q8CJG0;Q8CJF9;Q8CJF8	Ago2	97.303	97303
Q8CJG1	Ago1	97.213	97213
Q8JZK9	Hmgcs1	57.568	57568
Q8JZL3	Thtpa	24.264	24264
Q8JZM0	Tfb1m	38.961	38961
Q8JZM7	Cdc73	60.576	60576
Q8JZN5	Acad9	68.721	68721
Q8JZN7	Rhot2	69.07	69070
Q8JZQ2	Afg3l2	89.518	89518
Q8JZQ9	Eif3b	91.369	91369
Q8JZR0	Acsl5	76.205	76205
Q8JZS0	Lin7a	25.992	25992
